transaction_id,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,dateAndTimeForTransaction
18,1,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,2023-01-01 08:00:18
19,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,2023-01-01 08:00:39
20,1,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,2023-01-01 08:11:45
21,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,2023-01-01 08:17:27
24,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,2023-01-01 08:29:38
25,1,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,2023-01-01 08:31:23
30,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,2023-01-01 08:41:57
31,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,2023-01-01 08:52:03
35,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,2023-01-01 08:57:46
38,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,2023-01-01 09:00:24
39,1,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,2023-01-01 09:07:13
40,2,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,2023-01-01 09:08:09
41,1,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,2023-01-01 09:08:13
49,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,2023-01-01 09:14:17
50,1,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,2023-01-01 09:14:25
51,1,8,Hell's Kitchen,32,3.0,Coffee,Gourmet brewed coffee,2023-01-01 09:14:41
55,1,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,2023-01-01 09:19:26
57,1,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,2023-01-01 09:22:17
59,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,2023-01-01 09:29:56
60,1,8,Hell's Kitchen,74,3.5,Bakery,Biscotti,2023-01-01 09:29:56
61,1,8,Hell's Kitchen,53,3.0,Tea,Brewed Chai tea,2023-01-01 09:29:57
62,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,2023-01-01 09:34:17
69,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,2023-01-01 09:47:40
73,1,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,2023-01-01 09:53:28
74,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,2023-01-01 09:53:44
75,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,2023-01-01 09:53:44
76,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,2023-01-01 09:53:49
79,1,8,Hell's Kitchen,22,2.0,Coffee,Drip coffee,2023-01-01 09:56:30
80,2,8,Hell's Kitchen,32,3.0,Coffee,Gourmet brewed coffee,2023-01-01 10:00:39
81,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,2023-01-01 10:03:55
85,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,2023-01-01 10:16:33
86,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,2023-01-01 10:18:14
89,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,2023-01-01 10:24:19
90,2,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,2023-01-01 10:25:22
93,2,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,2023-01-01 10:27:48
96,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,2023-01-01 10:35:47
99,2,8,Hell's Kitchen,51,3.0,Tea,Brewed Black tea,2023-01-01 10:49:13
102,2,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,2023-01-01 10:52:44
103,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,2023-01-01 10:52:44
111,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,2023-01-01 11:04:32
113,2,8,Hell's Kitchen,51,3.0,Tea,Brewed Black tea,2023-01-01 11:08:59
120,2,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,2023-01-01 11:21:00
123,1,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,2023-01-01 11:23:01
128,2,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,2023-01-01 11:28:15
131,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,2023-01-01 11:29:57
132,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,2023-01-01 11:29:57
133,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,2023-01-01 11:30:22
134,1,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,2023-01-01 11:31:35
145,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,2023-01-01 11:48:56
146,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,2023-01-01 11:49:42
147,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,2023-01-01 11:49:42
151,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,2023-01-01 11:51:30
161,1,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,2023-01-01 12:03:09
162,1,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,2023-01-01 12:03:38
164,2,8,Hell's Kitchen,27,3.5,Coffee,Organic brewed coffee,2023-01-01 12:04:22
167,1,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,2023-01-01 12:07:42
169,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,2023-01-01 12:08:36
171,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,2023-01-01 12:09:12
173,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,2023-01-01 12:14:26
174,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,2023-01-01 12:17:38
181,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,2023-01-01 12:30:49
185,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,2023-01-01 12:36:57
186,2,8,Hell's Kitchen,49,3.0,Tea,Brewed Black tea,2023-01-01 12:38:28
188,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,2023-01-01 12:44:01
197,1,8,Hell's Kitchen,30,3.0,Coffee,Gourmet brewed coffee,2023-01-01 12:49:48
200,1,8,Hell's Kitchen,53,3.0,Tea,Brewed Chai tea,2023-01-01 12:51:21
205,2,8,Hell's Kitchen,29,2.5,Coffee,Gourmet brewed coffee,2023-01-01 12:53:11
206,1,8,Hell's Kitchen,37,3.0,Coffee,Barista Espresso,2023-01-01 12:53:59
210,1,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,2023-01-01 12:55:36
211,2,8,Hell's Kitchen,26,3.0,Coffee,Organic brewed coffee,2023-01-01 12:55:53
215,1,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,2023-01-01 12:59:06
218,1,8,Hell's Kitchen,49,3.0,Tea,Brewed Black tea,2023-01-01 13:02:40
219,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,2023-01-01 13:02:40
220,1,8,Hell's Kitchen,26,3.0,Coffee,Organic brewed coffee,2023-01-01 13:02:52
